,otv,debris1,debris2,debris3,debris4,debris5,debris6,debris7,debris8,debris9,debris10
12,[-1.29699848 -0.04797337 -0.00131561],[-1.09390826  0.54281063  0.00408904],[-1.29699848 -0.04797337 -0.00131561],[0.33969736 1.00511548 0.11507755],[-0.54169574 -1.04600042 -0.07371911],[ 0.34849685 -1.02949486 -0.0461472 ],[-0.75165183 -1.03107407 -0.06099287],[-1.28531086e+00 -4.68609863e-02 -9.08262153e-04],[-0.0599935  -1.26361935 -0.09158718],[0.44022435 1.05476714 0.15156194],[-1.14783196  0.12217171  0.00632316]
13,[-1.29685947 -0.05158365 -0.00169287],[-1.09556777  0.5394535   0.00407153],[-1.29685947 -0.05158365 -0.00169287],[0.33589764 1.00636911 0.11527473],[-0.53830853 -1.04773815 -0.07385366],[ 0.35225321 -1.02821808 -0.04609261],[-0.74868837 -1.0332177  -0.06116587],[-1.28517278e+00 -5.05022559e-02 -1.10355983e-03],[-0.05632292 -1.26378456 -0.09163838],[0.43666113 1.05620202 0.15187681],[-1.14823372  0.1183431   0.00619206]
14,[-1.2967103  -0.05519353 -0.00207011],[-1.09721697  0.5360913   0.00405398],[-1.2967103  -0.05519353 -0.00207011],[0.33209319 1.00760856 0.11547028],[-0.5349157  -1.04946497 -0.07398743],[ 0.35600489 -1.02692763 -0.04603741],[-0.74571875 -1.03535283 -0.06133837],[-1.28502436 -0.05414312 -0.00129885],[-0.05265187 -1.26393917 -0.09168882],[0.43309303 1.0576251  0.15218998],[-1.1486227   0.11451318  0.00606089]
15,[-1.29655098 -0.05880298 -0.00244734],[-1.09885585  0.53272405  0.0040364 ],[-1.29655098 -0.05880298 -0.00244734],[0.32828405 1.0088338  0.11566421],[-0.53151731 -1.05118085 -0.07412043],[ 0.35975184 -1.02562351 -0.0459816 ],[-0.74274301 -1.03747946 -0.06151036],[-1.2848656  -0.05778355 -0.00149413],[-0.04898038 -1.26408317 -0.09173849],[0.42952009 1.05903636 0.15250145],[-1.14899889  0.11068198  0.00592965]
16,[-1.2963815  -0.06241196 -0.00282455],[-1.1004844   0.5293518   0.00401878],[-1.2963815  -0.06241196 -0.00282455],[0.32447029 1.01004484 0.1158565 ],[-0.52811337 -1.05288578 -0.07425266],[ 0.36349399 -1.02430575 -0.04592518],[-0.73976117 -1.03959757 -0.06168184],[-1.28469649 -0.06142351 -0.00168939],[-0.04530848 -1.26421656 -0.09178739],[0.42594235 1.06043579 0.15281121],[-1.14936229  0.10684955  0.00579834]
17,[-1.29620186 -0.06602046 -0.00320173],[-1.1021026   0.52597456  0.00400112],[-1.29620186 -0.06602046 -0.00320173],[0.32065196 1.01124164 0.11604716],[-0.52470394 -1.05457975 -0.07438411],[ 0.36723131 -1.02297436 -0.04586815],[-0.73677325 -1.04170713 -0.06185282],[-1.28451704 -0.06506298 -0.00188465],[-0.0416362  -1.26433933 -0.09183551],[0.42235985 1.06182337 0.15311927],[-1.14971289  0.10301593  0.00566697]
18,[-1.29601207 -0.06962844 -0.0035789 ],[-1.10371043  0.52259238  0.00398342],[-1.29601207 -0.06962844 -0.0035789 ],[0.31682911 1.01242419 0.11623619],[-0.52128904 -1.05626273 -0.07451479],[ 0.37096375 -1.02162937 -0.0458105 ],[-0.73377928 -1.04380814 -0.06202329],[-1.28432726 -0.06870192 -0.00207988],[-0.03796357 -1.2644515  -0.09188287],[0.41877263 1.06319908 0.15342561],[-1.15005068  0.09918116  0.00553554]
19,[-1.29581213 -0.07323588 -0.00395603],[-1.10530789  0.51920529  0.00396568],[-1.29581213 -0.07323588 -0.00395603],[0.3130018  1.01359247 0.11642358],[-0.5178687  -1.0579347  -0.07464469],[ 0.37469125 -1.02027078 -0.04575225],[-0.73077928 -1.04590056 -0.06219325],[-1.28412713 -0.07234031 -0.0022751 ],[-0.03429062 -1.26455305 -0.09192946],[0.41518074 1.06456291 0.15373025],[-1.15037567  0.09534529  0.00540404]
20,[-1.29560204 -0.07684274 -0.00433313],[-1.10689495  0.51581331  0.00394791],[-1.29560204 -0.07684274 -0.00433313],[0.30917007 1.01474647 0.11660933],[-0.51444298 -1.05959566 -0.07477382],[ 0.37841377 -1.01889862 -0.04569339],[-0.72777327 -1.0479844  -0.0623627 ],[-1.28391666 -0.07597812 -0.00247031],[-0.03061738 -1.26464399 -0.09197527],[0.4115842  1.06591484 0.15403316],[-1.15068786  0.09150835  0.00527249]
21,[-1.2953818 -0.080449  -0.0047102],[-1.1084716   0.51241648  0.0039301 ],[-1.2953818 -0.080449  -0.0047102],[0.30533399 1.01588618 0.11679343],[-0.51101189 -1.06124558 -0.07490217],[ 0.38213125 -1.01751291 -0.04563391],[-0.72476128 -1.05005963 -0.06253164],[-1.28369587 -0.07961532 -0.00266549],[-0.02694388 -1.26472431 -0.09202031],[0.40798306 1.06725487 0.15433435],[-1.15098722  0.0876704   0.00514087]
22,[-1.29515141 -0.08405463 -0.00508723],[-1.11003783  0.50901483  0.00391226],[-1.29515141 -0.08405463 -0.00508723],[0.3014936  1.01701156 0.11697589],[-0.50757548 -1.06288444 -0.07502973],[ 0.38584365 -1.01611366 -0.04557384],[-0.72174334 -1.05212622 -0.06270006],[-1.28346473 -0.08325187 -0.00286065],[-0.02327016 -1.26479401 -0.09206458],[0.40437736 1.06858296 0.15463382],[-1.15127378  0.08383147  0.0050092 ]
23,[-1.29491087 -0.0876596  -0.00546422],[-1.11159362  0.5056084   0.00389437],[-1.29491087 -0.0876596  -0.00546422],[0.29764897 1.01812262 0.1171567 ],[-0.50413379 -1.06451223 -0.07515652],[ 0.38955092 -1.0147009  -0.04551315],[-0.71871947 -1.05418418 -0.06286797],[-1.28322327 -0.08688776 -0.00305579],[-0.01959625 -1.2648531  -0.09210808],[0.40076715 1.06989912 0.15493156],[-1.15154751  0.07999161  0.00487747]
24,[-1.29466019 -0.09126388 -0.00584117],[-1.11313895  0.50219721  0.00387645],[-1.29466019 -0.09126388 -0.00584117],[0.29380014 1.01921933 0.11733586],[-0.50068684 -1.06612893 -0.07528252],[ 0.393253   -1.01327463 -0.04545186],[-0.7156897  -1.05623347 -0.06303536],[-1.28297148 -0.09052294 -0.0032509 ],[-0.01592217 -1.26490158 -0.0921508 ],[0.39715245 1.07120332 0.15522757],[-1.15180842  0.07615086  0.00474569]
25,[-1.29439937 -0.09486745 -0.00621807],[-1.11467382  0.49878129  0.0038585 ],[-1.29439937 -0.09486745 -0.00621807],[0.28994717 1.02030168 0.11751337],[-0.49723468 -1.06773452 -0.07540774],[ 0.39694986 -1.01183489 -0.04538997],[-0.71265404 -1.05827408 -0.06320224],[-1.28270935 -0.0941574  -0.00344599],[-0.01224795 -1.26493943 -0.09219275],[0.39353332 1.07249555 0.15552184],[-1.15205651  0.07230926  0.00461386]
26,[-1.29412841 -0.09847028 -0.00659493],[-1.1161982   0.49536069  0.0038405 ],[-1.29412841 -0.09847028 -0.00659493],[0.28609012 1.02136965 0.11768922],[-0.49377733 -1.06932899 -0.07553217],[ 0.40064143 -1.01038168 -0.04532747],[-0.70961253 -1.060306   -0.06336859],[-1.28243691 -0.0977911  -0.00364105],[-0.00857363 -1.26496667 -0.09223393],[0.38990979 1.07377579 0.15581437],[-1.15229177  0.06846685  0.00448197]
27,[-1.29384731 -0.10207234 -0.00697173],[-1.11771209  0.49193543  0.00382247],[-1.29384731 -0.10207234 -0.00697173],[0.28222904 1.02242323 0.11786342],[-0.49031484 -1.07091233 -0.07565582],[ 0.40432767 -1.00891503 -0.04526437],[-0.70656519 -1.06232921 -0.06353443],[-1.28215414 -0.10142402 -0.00383608],[-0.00489924 -1.26498329 -0.09227433],[0.3862819  1.07504404 0.15610517],[-1.1525142   0.06462368  0.00435003]
28,[-1.29355607 -0.10567359 -0.00734848],[-1.11921546  0.48850554  0.00380441],[-1.29355607 -0.10567359 -0.00734848],[0.27836398 1.0234624  0.11803595],[-0.48684725 -1.0724845  -0.07577868],[ 0.40800853 -1.00743497 -0.04520067],[-0.70351204 -1.06434369 -0.06369974],[-1.28186105 -0.10505611 -0.00403108],[-1.22481354e-03 -1.26498930e+00 -9.23139547e-02],[0.3826497  1.07630027 0.15639422],[-1.15272379  0.06077979  0.00421805]
29,[-1.29325471 -0.10927402 -0.00772517],[-1.12070831  0.48507106  0.00378631],[-1.29325471 -0.10927402 -0.00772517],[0.27449499 1.02448715 0.11820682],[-0.48337458 -1.07404551 -0.07590074],[ 0.41168397 -1.0059415  -0.04513637],[-0.70045311 -1.06634943 -0.06386453],[-1.28155764 -0.10868736 -0.00422605],[ 0.00244963 -1.26498468 -0.09235281],[0.37901322 1.07754448 0.15668152],[-1.15292055  0.05693523  0.00408602]
30,[-1.29294321 -0.11287359 -0.0081018 ],[-1.12219062  0.48163202  0.00376817],[-1.29294321 -0.11287359 -0.0081018 ],[0.27062214 1.02549746 0.11837602],[-0.47989688 -1.07559532 -0.07602202],[ 0.41535393 -1.00443464 -0.04507146],[-0.69738843 -1.0683464  -0.06402879],[-1.28124391 -0.11231774 -0.00442098],[ 0.00612405 -1.26496945 -0.09239088],[0.3753725  1.07877664 0.15696707],[-1.15310448  0.05309003  0.00395394]
31,[-1.29262158 -0.11647228 -0.00847837],[-1.12366238  0.47818844  0.00375   ],[-1.29262158 -0.11647228 -0.00847837],[0.26674548 1.02649333 0.11854355],[-0.47641418 -1.07713393 -0.07614251],[ 0.41901836 -1.00291443 -0.04500596],[-0.69431802 -1.07033459 -0.06419253],[-1.28091987 -0.11594721 -0.00461588],[ 0.00979842 -1.2649436  -0.09242819],[0.37172759 1.07999675 0.15725087],[-1.15327556  0.04924424  0.00382182]
32,[-1.29228983 -0.12007005 -0.00885487],[-1.12512357  0.47474037  0.0037318 ],[-1.29228983 -0.12007005 -0.00885487],[0.26286505 1.02747473 0.11870942],[-0.47292652 -1.07866132 -0.0762622 ],[ 0.42267722 -1.00138087 -0.04493986],[-0.69124191 -1.072314   -0.06435574],[-1.28058552 -0.11957575 -0.00481074],[ 0.0134727  -1.26490713 -0.09246471],[0.36807853 1.08120479 0.15753291],[-1.1534338   0.0453979   0.00368966]
33,[-1.29194795 -0.12366689 -0.0092313 ],[-1.12657417  0.47128784  0.00371355],[-1.29194795 -0.12366689 -0.0092313 ],[0.25898092 1.02844165 0.11887361],[-0.46943392 -1.08017748 -0.0763811 ],[ 0.42633046 -0.99983399 -0.04487315],[-0.68816011 -1.07428459 -0.06451842],[-1.28024086 -0.12320332 -0.00500556],[ 0.01714688 -1.26486004 -0.09250046],[0.36442535 1.08240075 0.15781319],[-1.1535792   0.04155106  0.00355745]
34,[-1.29159595 -0.12726275 -0.00960765],[-1.12801419  0.46783087  0.00369528],[-1.29159595 -0.12726275 -0.00960765],[0.25509315 1.02939407 0.11903613],[-0.46593644 -1.08168238 -0.0764992 ],[ 0.42997802 -0.99827382 -0.04480586],[-0.68507266 -1.07624635 -0.06468057],[-1.2798859  -0.12682991 -0.00520034],[ 0.02082091 -1.26480234 -0.09253544],[0.3607681  1.08358461 0.1580917 ],[-1.15371175  0.03770375  0.00342521]
35,[-1.29123384 -0.13085762 -0.00998394],[-1.12944359  0.4643695   0.00367697],[-1.29123384 -0.13085762 -0.00998394],[0.25120177 1.030332   0.11919697],[-0.46243411 -1.08317601 -0.07661651],[ 0.43361987 -0.99670036 -0.04473796],[-0.68197958 -1.07819928 -0.06484219],[-1.27952063 -0.13045547 -0.00539508],[ 0.02449476 -1.26473402 -0.09256963],[0.35710682 1.08475636 0.15836845],[-1.15383146  0.03385602  0.00329293]
36,[-1.29086161 -0.13445146 -0.01036014],[-1.13086238  0.46090377  0.00365862],[-1.29086161 -0.13445146 -0.01036014],[0.24730686 1.0312554  0.11935613],[-0.45892696 -1.08465836 -0.07673301],[ 0.43725594 -0.99511364 -0.04466947],[-0.6788809  -1.08014334 -0.06500328],[-1.27914506 -0.13407998 -0.00558977],[ 0.02816841 -1.26465509 -0.09260305],[0.35344155 1.085916   0.15864343],[-1.15393832  0.03000792  0.00316061]
37,[-1.29047927 -0.13804425 -0.01073627],[-1.13227053  0.4574337   0.00364024],[-1.29047927 -0.13804425 -0.01073627],[0.24340847 1.03216428 0.1195136 ],[-0.45541502 -1.08612941 -0.07684872],[ 0.4408862  -0.99351368 -0.04460039],[-0.67577664 -1.08207853 -0.06516383],[-1.2787592  -0.13770342 -0.00578443],[ 0.03184182 -1.26456554 -0.09263569],[0.34977233 1.08706349 0.15891664],[-1.15403233  0.02615948  0.00302825]
38,[-1.29008682 -0.14163596 -0.01111231],[-1.13366803  0.45395933  0.00362182],[-1.29008682 -0.14163596 -0.01111231],[0.23950664 1.0330586  0.1196694 ],[-0.45189835 -1.08758914 -0.07696363],[ 0.4445106  -0.99190051 -0.04453072],[-0.67266683 -1.08400483 -0.06532385],[-1.27836304 -0.14132574 -0.00597903],[ 0.03551497 -1.26446538 -0.09266756],[0.3460992  1.08819884 0.15918807],[-1.1541135   0.02231075  0.00289587]
39,[-1.28968426 -0.14522656 -0.01148826],[-1.13505487  0.45048069  0.00360338],[-1.28968426 -0.14522656 -0.01148826],[0.23560144 1.03393838 0.1198235 ],[-0.44837696 -1.08903755 -0.07707773],[ 0.44812908 -0.99027414 -0.04446045],[-0.66955149 -1.08592222 -0.06548333],[-1.27795659 -0.14494693 -0.00617359],[ 0.03918782 -1.2643546  -0.09269865],[0.3424222  1.08932203 0.15945772],[-1.15418181  0.01846178  0.00276345]
40,[-1.2892716  -0.14881602 -0.01186412],[-1.13643103  0.44699782  0.00358489],[-1.2892716  -0.14881602 -0.01186412],[0.23169292 1.03480358 0.11997592],[-0.44485091 -1.09047461 -0.07719104],[ 0.4517416  -0.9886346  -0.04438959],[-0.66643065 -1.08783069 -0.06564228],[-1.27753986 -0.14856695 -0.00636809],[ 0.04286033 -1.26423321 -0.09272895],[0.33874138 1.09043305 0.15972559],[-1.15423727  0.01461259  0.00263099]
41,[-1.28884884 -0.15240432 -0.01223989],[-1.13779651  0.44351074  0.00356638],[-1.28884884 -0.15240432 -0.01223989],[0.22778113 1.0356542  0.12012665],[-0.44132022 -1.09190031 -0.07730353],[ 0.45534811 -0.9869819  -0.04431814],[-0.66330434 -1.08973023 -0.06580068],[-1.27711284 -0.15218577 -0.00656255],[ 0.04653249 -1.26410121 -0.09275849],[0.33505677 1.09153188 0.15999168],[-1.15427987  0.01076325  0.00249851]
42,[-1.28841598 -0.15599142 -0.01261557],[-1.13915129  0.44001949  0.00354783],[-1.28841598 -0.15599142 -0.01261557],[0.22386613 1.03649023 0.12027569],[-0.43778493 -1.09331464 -0.07741523],[ 0.45894856 -0.98531608 -0.0442461 ],[-0.66017258 -1.0916208  -0.06595854],[-1.27667554 -0.15580337 -0.00675695],[ 0.05020426 -1.2639586  -0.09278724],[0.33136842 1.09261851 0.16025598],[-1.15430963  0.00691378  0.00236601]
43,[-1.28797304 -0.1595773  -0.01299114],[-1.14049535  0.4365241   0.00352924],[-1.28797304 -0.1595773  -0.01299114],[0.21994798 1.03731165 0.12042303],[-0.43424509 -1.09471757 -0.07752611],[ 0.46254291 -0.98363715 -0.04417347],[-0.65703539 -1.09350242 -0.06611586],[-1.27622796 -0.15941972 -0.0069513 ],[ 0.05387561 -1.26380538 -0.09281521],[0.32767636 1.09369294 0.16051848],[-1.15432653  0.00306424  0.00223347]
44,[-1.28752    -0.16316193 -0.01336661],[-1.14182869  0.43302461  0.00351063],[-1.28752    -0.16316193 -0.01336661],[0.21602673 1.03811845 0.12056867],[-0.43070071 -1.09610911 -0.07763619],[ 0.4661311  -0.98194513 -0.04410025],[-0.6538928  -1.09537504 -0.06627264],[-1.27577011 -0.16303478 -0.00714559],[ 0.0575465  -1.26364155 -0.0928424 ],[0.32398065 1.09475514 0.1607792 ],[-1.15433058e+00 -7.85335483e-04  2.10091297e-03]
45,[-1.28705687 -0.16674528 -0.01374198],[-1.14315129  0.42952104  0.00349198],[-1.28705687 -0.16674528 -0.01374198],[0.21210244 1.03891063 0.12071262],[-0.42715186 -1.09748922 -0.07774546],[ 0.46971309 -0.98024005 -0.04402645],[-0.65074484 -1.09723867 -0.06642888],[-1.27530199 -0.16664853 -0.00733982],[ 0.06121691 -1.26346712 -0.09286882],[0.32028131 1.09580511 0.16103811],[-1.15432178 -0.0046349   0.00196833]
46,[-1.28658367 -0.17032733 -0.01411724],[-1.14446314  0.42601344  0.00347329],[-1.28658367 -0.17032733 -0.01411724],[0.20817516 1.03968816 0.12085486],[-0.42359855 -1.09885791 -0.07785392],[ 0.47328884 -0.97852193 -0.04395206],[-0.64759154 -1.09909328 -0.06658456],[-1.27482361 -0.17026094 -0.007534  ],[ 0.06488681 -1.26328208 -0.09289445],[0.31657839 1.09684283 0.16129523],[-1.15430012 -0.00848442  0.00183573]
47,[-1.28610038 -0.17390804 -0.01449239],[-1.14576423  0.42250182  0.00345458],[-1.28610038 -0.17390804 -0.01449239],[0.20424494 1.04045105 0.1209954 ],[-0.42004083 -1.10021514 -0.07796157],[ 0.47685828 -0.97679079 -0.04387708],[-0.64443291 -1.10093886 -0.0667397 ],[-1.27433496 -0.17387198 -0.00772811],[ 0.06855616 -1.26308643 -0.09291931],[0.31287194 1.0978683  0.16155054],[-1.15426561 -0.01233384  0.0017031 ]
48,[-1.28560702 -0.17748739 -0.01486743],[-1.14705454  0.41898624  0.00343583],[-1.28560702 -0.17748739 -0.01486743],[0.20031185 1.04119928 0.12113424],[-0.41647873 -1.10156091 -0.07806841],[ 0.48042139 -0.97504666 -0.04380153],[-0.64126899 -1.1027754  -0.0668943 ],[-1.27383606 -0.17748161 -0.00792217],[ 0.07222494 -1.26288019 -0.09294339],[0.30916198 1.09888149 0.16180405],[-1.15421825 -0.01618313  0.00157046]
49,[-1.28510359 -0.18106535 -0.01524235],[-1.14833406  0.41546672  0.00341705],[-1.28510359 -0.18106535 -0.01524235],[0.19637593 1.04193283 0.12127137],[-0.4129123  -1.10289521 -0.07817444],[ 0.4839781  -0.97328956 -0.04372539],[-0.6380998  -1.10460287 -0.06704834],[-1.2733269  -0.18108982 -0.00811616],[ 0.07589311 -1.26266334 -0.09296668],[0.30544858 1.09988241 0.16205575],[-1.15415803 -0.02003223  0.0014378 ]
50,[-1.28459009 -0.18464189 -0.01561715],[-1.14960279  0.41194328  0.00339824],[-1.28459009 -0.18464189 -0.01561715],[0.19243725 1.0426517  0.12140679],[-0.40934156 -1.10421802 -0.07827965],[ 0.48752838 -0.97151951 -0.04364866],[-0.63492537 -1.10642127 -0.06720183],[-1.27280749 -0.18469658 -0.00831008],[ 0.07956065 -1.2624359  -0.0929892 ],[0.30173176 1.10087104 0.16230564],[-1.15408497 -0.02388111  0.00130512]
51,[-1.28406653 -0.18821698 -0.01599183],[-1.1508607   0.40841598  0.0033794 ],[-1.28406653 -0.18821698 -0.01599183],[0.18849585 1.04335588 0.1215405 ],[-0.40576656 -1.10552933 -0.07838404],[ 0.49107217 -0.96973653 -0.04357136],[-0.63174572 -1.10823058 -0.06735477],[-1.27227783 -0.18830184 -0.00850394],[ 0.08322751 -1.26219786 -0.09301093],[0.29801157 1.10184736 0.16255372],[-1.15399905 -0.02772973  0.00117243]
52,[-1.28353291 -0.1917906  -0.01636638],[-1.15210779  0.40488483  0.00336052],[-1.28353291 -0.1917906  -0.01636638],[0.1845518  1.04404536 0.12167249],[-0.40218734 -1.10682912 -0.07848762],[ 0.49460942 -0.96794066 -0.04349348],[-0.62856088 -1.11003079 -0.06750716],[-1.27173793 -0.19190559 -0.00869772],[ 0.08689368 -1.26194922 -0.09303189],[0.29428805 1.10281138 0.16279998],[-1.15390028e+00 -3.15780315e-02  1.03972181e-03]
53,[-1.28298924 -0.19536272 -0.01674081],[-1.15334405  0.40134987  0.00334161],[-1.28298924 -0.19536272 -0.01674081],[0.18060515 1.04472012 0.12180278],[-0.39860392 -1.10811738 -0.07859038],[ 0.4981401  -0.9661319  -0.04341502],[-0.62537087 -1.11182187 -0.06765899],[-1.2711878  -0.19550779 -0.00889144],[ 0.09055912 -1.26169    -0.09305206],[0.29056124 1.10376306 0.16304442],[-1.15378867e+00 -3.54259862e-02  9.07005309e-04]
54,[-1.28243551 -0.19893331 -0.0171151 ],[-1.15456946  0.39781115  0.00332268],[-1.28243551 -0.19893331 -0.0171151 ],[0.17665595 1.04538017 0.12193134],[-0.39501635 -1.1093941  -0.07869232],[ 0.50166415 -0.9643103  -0.04333598],[-0.62217573 -1.11360382 -0.06781027],[-1.27062743 -0.19910842 -0.00908509],[ 0.0942238  -1.26142018 -0.09307145],[0.28683118 1.10470242 0.16328704],[-1.15366421e+00 -3.92735465e-02  7.74278706e-04]
55,[-1.28187174 -0.20250233 -0.01748926],[-1.15578401  0.39426868  0.00330371],[-1.28187174 -0.20250233 -0.01748926],[0.17270427 1.04602548 0.12205819],[-0.39142467 -1.11065926 -0.07879344],[ 0.50518152 -0.96247586 -0.04325637],[-0.61897548 -1.11537662 -0.06796098],[-1.27005684 -0.20270745 -0.00927866],[ 0.09788769 -1.26113977 -0.09309006],[0.28309792 1.10562943 0.16352783],[-1.15352690e+00 -4.31206694e-02  6.41543482e-04]
56,[-1.28129793 -0.20606978 -0.01786328],[-1.1569877  0.3907225  0.0032847],[-1.28129793 -0.20606978 -0.01786328],[0.16875015 1.04665606 0.12218332],[-0.38782891 -1.11191285 -0.07889374],[ 0.50869218 -0.96062863 -0.04317618],[-0.61577014 -1.11714025 -0.06811115],[-1.26947602 -0.20630485 -0.00947216],[ 0.10155075 -1.26084878 -0.09310789],[0.27936149 1.10654408 0.1637668 ],[-1.15337675e+00 -4.69673122e-02  5.08801115e-04]
